value1;value2;value3;
1;834;9365;
2;30;568;
3;959;8217;
4;0;2731;
5;53;293;
6;651;5269;
7;692;5614;
8;488;8173;
9;776;3983;
10;593;2874;
11;140;3829;
12;355;3835;
13;176;2627;
14;716;2288;
15;25;499;
16;98;1944;
17;527;7274;
18;275;3767;
19;34;2727;
20;970;2116;
21;181;1608;
22;423;8461;
23;669;536;
24;728;9623;
25;27;6617;
26;451;1126;
27;261;6602;
28;70;324;
29;395;1317;
30;941;8834;
31;364;5624;
32;194;9353;
33;969;1421;
34;747;3163;
35;489;2184;
36;141;8491;
37;828;9245;
38;383;2326;
39;108;2876;
40;417;7116;
41;637;1498;
42;491;8239;
43;804;5165;
44;146;9623;
45;597;1635;
46;285;2703;
47;303;7536;
48;182;6431;
49;131;6402;
50;612;5991;
51;706;7122;
52;852;2421;
53;876;3226;
54;952;9156;
55;668;429;
56;480;7377;
57;544;2807;
58;509;8939;
59;231;2051;
60;565;9686;
61;52;9635;
62;88;5211;
63;983;3567;
64;665;7232;
65;90;3373;
66;352;8367;
67;744;3001;
68;52;4790;
69;977;977;
70;6;9915;
71;67;8544;
72;872;3354;
73;883;8933;
74;916;8172;
75;641;3343;
76;74;7669;
77;857;8103;
78;785;7771;
79;678;3610;
80;503;7006;
81;193;930;
82;540;4872;
83;343;656;
84;496;3586;
85;464;8663;
86;780;96;
87;916;3192;
88;958;4906;
89;808;1398;
90;238;4952;
91;654;2277;
92;597;5226;
93;555;6468;
94;382;4353;
95;201;6868;
96;716;1997;
97;85;4772;
98;627;3924;
99;139;4923;
100;651;3228;
101;37;3169;
102;607;6069;
103;955;2201;
104;916;1206;
105;636;3359;
106;413;2898;
107;194;8410;
108;723;1031;
109;587;4719;
110;609;6995;
111;420;8626;
112;261;9027;
113;281;8793;
114;291;9833;
115;232;5150;
116;876;8393;
117;403;3601;
118;11;3376;
119;203;8488;
120;656;8434;
121;146;4212;
122;582;4718;
123;409;5938;
124;799;9408;
125;872;9898;
126;303;628;
127;724;4391;
128;293;4930;
129;250;5763;
130;854;3338;
131;858;3199;
132;108;1196;
133;879;748;
134;468;8212;
135;730;6041;
136;869;2833;
137;118;4585;
138;548;7857;
139;551;2992;
140;445;7131;
141;404;1082;
142;580;5672;
143;971;2296;
144;657;1326;
145;99;4983;
146;449;2475;
147;229;9551;
148;969;3818;
149;700;7814;
150;750;2741;
151;283;9662;
152;296;7176;
153;165;2034;
154;261;5149;
155;936;9272;
156;97;3610;
157;323;6930;
158;523;6179;
159;726;3815;
160;787;6540;
161;825;9530;
162;16;4640;
163;125;9620;
164;894;3671;
165;462;6403;
166;172;5367;
167;482;7469;
168;964;826;
169;499;4418;
170;267;9224;
171;808;9118;
172;24;2785;
173;666;904;
174;673;5737;
175;218;9915;
176;97;960;
177;296;8574;
178;447;6269;
179;838;7345;
180;912;1990;
181;883;1078;
182;723;8479;
183;987;9034;
184;397;8621;
185;347;5743;
186;819;6501;
187;747;1159;
188;133;6773;
189;628;5279;
190;435;5407;
191;705;8342;
192;462;494;
193;19;3896;
194;105;7366;
195;740;7099;
196;457;6044;
197;372;1877;
198;503;9391;
199;410;8040;
200;559;1586;
201;66;6027;
202;857;9528;
203;925;5159;
204;140;6490;
205;166;5659;
206;762;5639;
207;209;8108;
208;375;761;
209;478;2412;
210;491;4464;
211;795;1125;
212;479;3821;
213;176;5395;
214;284;3229;
215;315;5995;
216;599;5536;
217;731;6476;
218;512;7029;
219;146;33;
220;234;5924;
221;108;9695;
222;349;3063;
223;828;8769;
224;735;3846;
225;70;4654;
226;97;5854;
227;583;7044;
228;45;445;
229;152;7475;
230;142;2652;
231;962;584;
232;32;1497;
233;539;3140;
234;662;4176;
235;606;2713;
236;154;1622;
237;601;3601;
238;566;5714;
239;368;1482;
240;642;9560;
241;495;9266;
242;887;2419;
243;788;4538;
244;720;7199;
245;51;4474;
246;504;8704;
247;379;2242;
248;246;4018;
249;333;4936;
250;69;446;
251;565;5347;
252;8;9349;
253;370;9219;
254;611;2316;
255;719;8378;
256;900;1844;
257;748;1691;
258;784;741;
259;326;350;
260;555;2151;
261;555;8829;
262;271;1085;
263;586;6318;
264;813;4014;
265;534;6637;
266;338;9713;
267;796;4420;
268;504;1492;
269;954;7946;
270;518;4473;
271;679;7494;
272;170;1566;
273;329;6991;
274;378;3688;
275;866;9618;
276;554;7979;
277;932;5086;
278;351;616;
279;203;7103;
280;994;8675;
281;362;9733;
282;104;511;
283;757;4432;
284;87;4345;
285;629;4394;
286;211;5614;
287;339;481;
288;351;9050;
289;292;1440;
290;279;1390;
291;706;8362;
292;233;5981;
293;403;114;
294;564;51;
295;394;3801;
296;696;9426;
297;588;7461;
298;445;9467;
299;677;5386;
300;264;9782;
301;33;7719;
302;240;3917;
303;614;2224;
304;799;7467;
305;206;8260;
306;756;3356;
307;571;5018;
308;933;1761;
309;163;2957;
310;369;3572;
311;603;1073;
312;219;5202;
313;752;8512;
314;467;1257;
315;712;4838;
316;303;5871;
317;223;6341;
318;431;9980;
319;182;1478;
